time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
25.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.14, -0.144, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.155,-0.14,-0.144
26.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.158, -0.135, -0.13, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.158,-0.135,-0.13
27.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.154, -0.139, -0.136, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.154,-0.139,-0.136
28.03,Saturation,,,,"[-0.254, -1.985, -7.566, -0.148, -0.129, -0.115, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.148,-0.129,-0.115
29.03,Saturation,,,,"[-0.252, -1.773, -7.566, -0.14, -0.126, -0.125, -0.001, -0.001]",,,-1.773,-7.566,,,-0.252,-0.14,-0.126,-0.125
30.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.147, -0.134, -0.124, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.147,-0.134,-0.124
31.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.127, -0.128, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.139,-0.127,-0.128
32.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.142, -0.125, -0.123, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.142,-0.125,-0.123
33.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.155, -0.142, -0.136, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.155,-0.142,-0.136
34.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.15, -0.134, -0.129, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.15,-0.134,-0.129
35.03,Saturation,,,,"[-0.254, -1.985, -7.566, -0.149, -0.131, -0.127, -0.001, -0.001]",,,-1.985,-7.566,,,-0.254,-0.149,-0.131,-0.127
36.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.13, -0.122, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.14,-0.13,-0.122
37.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.136, -0.125, -0.124, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.136,-0.125,-0.124
38.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.132, -0.116, -0.115, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.132,-0.116,-0.115
39.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.145, -0.13, -0.131, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.145,-0.13,-0.131
40.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.154, -0.13, -0.124, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.154,-0.13,-0.124
41.03,Saturation,,,,"[-0.252, -1.773, -7.564, -0.148, -0.141, -0.129, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.148,-0.141,-0.129
42.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.143, -0.136, -0.134, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.143,-0.136,-0.134
43.03,Saturation,,,,"[-0.252, -1.773, -7.564, -0.141, -0.131, -0.134, -0.001, -0.001]",,,-1.773,-7.564,,,-0.252,-0.141,-0.131,-0.134
44.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.132, -0.132, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.15,-0.132,-0.132
45.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.144, -0.129, -0.136, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.144,-0.129,-0.136
46.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.143, -0.128, -0.122, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.143,-0.128,-0.122
47.03,Saturation,,,,"[-0.252, -1.773, -7.566, -0.145, -0.127, -0.124, -0.001, -0.001]",,,-1.773,-7.566,,,-0.252,-0.145,-0.127,-0.124
48.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.153, -0.139, -0.135, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.153,-0.139,-0.135
49.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.132, -0.129, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.15,-0.132,-0.129
50.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.143, -0.132, -0.132, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.143,-0.132,-0.132
51.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.125, -0.121, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.139,-0.125,-0.121
52.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.142, -0.132, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.15,-0.142,-0.132
53.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.151, -0.137, -0.127, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.151,-0.137,-0.127
54.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.147, -0.137, -0.132, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.147,-0.137,-0.132
55.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.142, -0.137, -0.136, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.142,-0.137,-0.136
56.03,Saturation,,,,"[-0.252, -1.773, -7.566, -0.155, -0.132, -0.129, -0.001, -0.001]",,,-1.773,-7.566,,,-0.252,-0.155,-0.132,-0.129
57.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.128, -0.131, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.14,-0.128,-0.131
58.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.151, -0.141, -0.137, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.151,-0.141,-0.137
59.03,Saturation,,,,"[-0.254, -1.773, -7.564, -0.154, -0.139, -0.132, -0.001, -0.001]",,,-1.773,-7.564,,,-0.254,-0.154,-0.139,-0.132
60.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.137, -0.131, -0.001, -0.001]",,,-1.773,-7.566,,,-0.254,-0.154,-0.137,-0.131
