time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume
27.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.157, -0.146, -0.14, -0.001, -0.001]",,,,,,
28.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.151, -0.13, -0.132, -0.001, -0.001]",,,,,,
29.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.144, -0.133, -0.132, -0.001, -0.001]",,,,,,
30.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.157, -0.141, -0.133, -0.001, -0.001]",,,,,,
31.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.145, -0.145, -0.001, -0.001]",,,,,,
32.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.139, -0.126, -0.001, -0.001]",,,,,,
33.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.156, -0.143, -0.135, -0.001, -0.001]",,,,,,
34.02,Saturation,,,,"[-0.254, -1.773, -7.564, -0.147, -0.136, -0.128, -0.001, -0.001]",,,,,,
35.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.153, -0.148, -0.145, -0.001, -0.001]",,,,,,
36.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.161, -0.148, -0.161, -0.001, -0.001]",,,,,,
37.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.154, -0.147, -0.15, -0.001, -0.001]",,,,,,
38.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.158, -0.14, -0.137, -0.001, -0.001]",,,,,,
39.02,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.138, -0.135, -0.001, -0.001]",,,,,,
40.01,Saturation,,,,"[-0.254, -1.773, -7.566, -0.16, -0.147, -0.142, -0.001, -0.001]",,,,,,
41.01,Saturation,,,,"[-0.254, -1.773, -7.564, -0.167, -0.143, -0.142, -0.001, -0.001]",,,,,,
42.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.158, -0.141, -0.138, -0.001, -0.001]",,,,,,
43.04,Saturation,,,,"[-0.252, -1.773, -7.566, -0.14, -0.129, -0.132, -0.001, -0.001]",,,,,,
44.04,Saturation,,,,"[-0.254, -1.773, -7.566, -0.133, -0.118, -0.118, -0.001, -0.001]",,,,,,
45.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.133, -0.121, -0.118, -0.001, -0.001]",,,,,,
46.04,Saturation,,,,"[-0.254, -1.773, -7.564, -0.14, -0.136, -0.135, -0.001, -0.001]",,,,,,
47.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.143, -0.121, -0.121, -0.001, -0.001]",,,,,,
48.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.139, -0.122, -0.124, -0.001, -0.001]",,,,,,
49.04,Saturation,,,,"[-0.254, -1.773, -7.566, -0.141, -0.13, -0.129, -0.001, -0.001]",,,,,,
50.03,Saturation,,,,"[-0.252, -1.773, -7.566, -0.142, -0.125, -0.128, -0.001, -0.001]",,,,,,
51.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.125, -0.121, -0.118, -0.001, -0.001]",,,,,,
52.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.137, -0.121, -0.116, -0.001, -0.001]",,,,,,
53.03,Saturation,,,,"[-0.254, -1.773, -7.566, -0.127, -0.115, -0.112, -0.001, -0.001]",,,,,,
54.05,Saturation,,,,"[-0.254, -1.773, -7.566, -0.125, -0.115, -0.107, -0.001, -0.001]",,,,,,
55.05,Saturation,,,,"[-0.254, -1.773, -7.566, -0.15, -0.132, -0.129, -0.001, -0.001]",,,,,,
56.07,Saturation,,,,"[-0.254, -1.773, -7.564, -0.13, -0.113, -0.114, -0.001, -0.001]",,,,,,
57.07,Saturation,,,,"[-0.254, -1.773, -7.566, -0.14, -0.122, -0.119, -0.001, -0.001]",,,,,,
58.07,Saturation,,,,"[-0.254, -1.773, -7.566, -0.138, -0.118, -0.118, -0.001, -0.001]",,,,,,
59.07,Saturation,,,,"[-0.254, -1.773, -7.564, -0.128, -0.119, -0.121, -0.001, -0.001]",,,,,,
60.07,Saturation,,,,"[-0.254, -1.773, -7.566, -0.145, -0.123, -0.115, -0.001, -0.001]",,,,,,
