time_s,stage,pressure,volume,displacement,transducers,cell_pressure,back_pressure,pore_pressure,axial_displacement,cell_volume,back_volume,axial_load,local_axial_1_mv,local_axial_2_mv,local_radial_mv
37.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.13, -0.114, -0.117, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.13,-0.114,-0.117
38.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.136, -0.117, -0.114, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.136,-0.117,-0.114
40.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.142, -0.125, -0.122, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.142,-0.125,-0.122
40.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.134, -0.114, -0.12, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.134,-0.114,-0.12
42.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.135, -0.115, -0.117, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.135,-0.115,-0.117
43.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.134, -0.117, -0.11, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.134,-0.117,-0.11
44.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.148, -0.135, -0.13, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.148,-0.135,-0.13
44.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.137, -0.126, -0.121, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.137,-0.126,-0.121
46.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.15, -0.129, -0.124, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.15,-0.129,-0.124
47.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.145, -0.127, -0.125, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.145,-0.127,-0.125
48.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.14, -0.124, -0.119, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.14,-0.124,-0.119
49.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.144, -0.126, -0.125, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.144,-0.126,-0.125
49.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.14, -0.126, -0.126, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.14,-0.126,-0.126
50.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.134, -0.119, -0.123, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.134,-0.119,-0.123
51.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.144, -0.129, -0.127, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.144,-0.129,-0.127
53.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.136, -0.13, -0.134, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.136,-0.13,-0.134
53.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.155, -0.138, -0.132, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.155,-0.138,-0.132
55.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.144, -0.127, -0.126, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.144,-0.127,-0.126
55.99,Saturation,,,,"[-0.256, 7.763, -7.564, -0.144, -0.128, -0.125, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.144,-0.128,-0.125
57.0,Saturation,,,,"[-0.256, 7.763, -7.566, -0.149, -0.14, -0.13, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.149,-0.14,-0.13
57.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.135, -0.122, -0.125, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.135,-0.122,-0.125
58.99,Saturation,,,,"[-0.256, 7.763, -7.566, -0.138, -0.125, -0.123, -0.001, -0.001]",,,7.763,-7.566,,,-0.256,-0.138,-0.125,-0.123
60.0,Saturation,,,,"[-0.256, 7.763, -7.564, -0.135, -0.119, -0.11, -0.001, -0.001]",,,7.763,-7.564,,,-0.256,-0.135,-0.119,-0.11
61.0,Saturation,,,,"[-0.258, 7.763, -7.566, -0.129, -0.109, -0.112, -0.001, -0.001]",,,7.763,-7.566,,,-0.258,-0.129,-0.109,-0.112
